x	y
100.80716831791429	5312.373044013647
1000.3300115084827	5994.570427808104
1000.5924763302206	6019.786726785544
1000.5993179657125	8012.975208024083
1000.8381289208137	6019.73721865973
1001.3162554413141	7538.453817621895
1001.5854127467817	6019.58661319864
1003.0857879819885	6019.284231832612
1003.1045275954784	7537.510729691247
1003.1806733778093	6019.265108899274
1003.217078735513	6019.257771866821
1003.3257849423428	5991.251382664153
1004.0730269360815	6019.085266496122
1004.161743639401	5990.325216278321
1004.968909964477	6018.9047127735785
1005.1218525651758	5989.26150270381
1006.4218992648312	5987.821168920011
1006.5933524630082	6018.57732724347
1006.6247248869544	7535.654269771901
1006.8014327852866	6018.535391325962
1006.8987769895248	5987.292831670433
1007.0361632114091	5987.14062020229
1007.111645493306	6018.47287193734
1007.1253254745399	5987.041836504857
1007.1477001682056	8011.961473803434
1007.3537895238586	5986.788719067842
1007.3574754545118	5986.78463539112
1007.4388938352834	5986.694431212702
1007.4606702347039	5986.67030493802
1007.897456956696	5986.186384881789
1007.9499025848759	6018.303931982531
1008.054563933698	6018.282838831375
1008.3467731798947	5985.688583275082
1008.5673690327458	7534.629770093164
1009.0851676057955	5984.870509249221
1009.2280162550187	6018.046344581428
1009.2716085215144	5984.6639496312755
1009.6339018027684	8011.576592836127
101.56926156862862	5306.07566160837
1011.4415869015755	5982.259810478624
1012.0901834222113	8011.196343691196
1012.5226057703644	7532.54388175597
1012.5431699076337	5981.039356459775
1012.7300449752604	8011.097288759344
1012.7423213746324	5980.8187147043
1012.7679746430883	5980.7902932104935
1012.9002231315385	5980.643773884825
1012.9452286719579	5980.593911829607
1013.1632727122806	5980.352338817102
1013.3183717854688	5980.180503116886
1014.0273969589343	6017.079091017596
1014.1109746234356	5979.302371089043
1014.1309650164928	5979.280223547358
1014.532601500847	6016.977273528262
1014.725425544794	6016.938412317784
1015.1673292731471	5978.132025985242
1015.2087148830965	6016.841011556378
1015.6530754697123	5977.59386327351
1015.8268593074198	7530.801304920929
1015.862492436052	5977.361848276203
1016.6425671543341	6016.552037039681
1016.9378410462325	5976.170459587615
1016.966477064156	6016.486757155886
1017.0848007586771	5976.00764156058
1017.1395228967386	7530.109040499541
1017.1586151399651	5975.9258619236425
1017.3187623686608	5975.748433325167
1017.7097704460535	5975.315231853438
1018.0217434759834	5974.969594043072
1018.5309466617391	6016.171458393999
1018.8683187026683	6016.103465390514
1018.8911350218353	6016.098867054315
1018.9327391379385	8010.137069404626
1018.939697487325	5973.952584288837
1019.2596851603846	7528.99092241153
1019.6265132711198	5973.191654718455
102.6167774218263	5312.775096437241
1020.2085205072448	8009.939569748659
1020.4936392573029	6015.7759028994715
1020.6465609922964	6015.745083487075
1020.6749569217868	6015.739360652049
1021.1559610487436	6015.642420445652
1022.8787337341864	6015.295217728787
1023.3625192527372	6015.197716968622
1024.1904392551774	5968.135238834823
1024.3458201523704	7526.3086279333575
1024.5791894907563	8009.2629603848945
1025.0503950862985	7525.937053553655
1025.4688939078417	5966.71882707994
1025.6088960316147	6014.7449885690385
1026.0210731941454	5966.107062532567
1026.0702303671433	5966.05260084515
1026.3563023083284	5965.735659090984
1026.383636084748	7525.233937145252
1026.6420060040537	6014.536778517718
1026.644173475656	5965.416723957505
1026.6741493459654	6014.530300439829
1026.955029989953	5965.072323145154
1027.1851375133856	7781.570301591362
1027.3808422451953	6014.387875558894
1027.4137630736982	5964.564088511398
1027.8842602090126	7773.830301079238
1027.9471739938413	7773.442030057266
1028.0551130954645	7772.775886295414
1028.1769677522702	7772.023862994654
1028.424185061353	7770.498166877211
1028.552703854821	7782.827722836287
1028.6619324467035	7769.030914183183
1028.723709292075	7768.649659757751
1028.8039202294362	5963.023920518408
1028.893715042867	5962.924436012638
1028.978353703791	7767.078127441804
1029.755809623968	6013.909231374817
1029.9833915055247	5961.71717336354
1030.1946158524986	6013.820795613088
1030.6463223594128	7784.752719311174
1030.6612720773428	7756.6920341782225
1030.6812715192805	7756.568608067695
1030.8593743968204	5960.746663802076
1031.4357550656887	6013.570659939085
1031.4678231152193	7751.714422409957
1031.4681258630087	6013.564136020479
1031.5350383421774	8008.186147548334
1031.551005693596	7751.201062979991
1031.568865291839	5959.960612265878
1031.6841592790606	5959.832876989208
1032.1034635671522	7747.79158151664
1032.350080339469	5959.09509687646
1032.3661493102718	7746.17042230302
1032.482606955737	7522.017499532888
1032.5454830020726	5516.679361363192
1032.6020796982075	5516.706493093054
1032.7862857660461	7743.577559522699
1032.9024893146395	5516.850505608233
1032.9606129740232	6013.26334440461
1032.9763171969335	6013.260179420102
1033.162857106687	5958.194613965483
1033.3535441001204	5517.066735484334
1033.3594851021228	7521.555056948531
1033.4098235878064	7739.729409741965
1033.4655474922176	5517.120428473247
1033.481782522923	7739.285316776428
1033.6326946140907	7738.3539661666155
1033.6412315224645	5957.664618517986
1033.825981189946	6013.088940550755
1033.8591173107252	5519.161743416917
1033.954556173793	5957.31748323375
1034.425925032798	5956.79524930751
1034.6421748610344	5520.614439330521
1034.899022218629	5956.271100551967
